#Frame      Mode1    Mode2
       1   -4.610    5.020
       2   -5.411    5.584
       3   -5.449    5.138
       4   -4.985    4.763
       5   -5.014    3.673
       6   -4.791    3.947
       7   -4.984    5.424
       8   -4.496    4.433
       9   -2.262    5.224
      10   -6.454    2.162
      11   -6.176    1.366
      12   -3.330    3.516
      13   -2.172    2.798
      14   -3.268    2.368
      15   -2.998    4.306
      16   -1.668    4.181
      17   -1.649    4.578
      18   -3.697    5.255
      19   -3.829    3.239
      20   -3.017    4.416
      21   -2.193    4.034
      22   -3.214    3.987
      23   -2.330    5.045
      24   -1.040    5.538
      25   -1.115    3.768
      26   -0.500    2.722
      27   -1.171    3.152
      28   -0.095    3.559
      29   -3.164    3.641
      30   -1.972    3.363
      31   -1.428    4.686
      32   -0.511    4.635
      33   -0.810    4.917
      34   -0.684    5.603
      35   -1.298    2.255
      36   -0.941    2.441
      37   -1.229    3.045
      38   -0.359    2.621
      39   -1.657    0.175
      40   -1.809    1.042
      41   -0.400    0.083
      42   -1.116    2.252
      43   -0.151    2.680
      44    0.194    4.002
      45    1.713    4.682
      46   -1.154    3.208
      47   -2.331    5.250
      48   -2.399    6.282
      49   -2.873    6.942
      50   -4.279    5.201
      51   -3.519    3.265
      52   -3.032    4.079
      53   -3.084    1.099
      54   -4.008    4.930
      55   -4.218    4.364
      56   -4.307    3.041
      57   -3.248    1.970
      58   -3.084    2.293
      59   -4.258   -0.322
      60   -2.982    1.903
      61   -1.472    2.807
      62   -0.143    2.140
      63   -2.573    1.676
      64   -0.620    2.206
      65   -2.133    2.462
      66   -2.555    3.640
      67   -3.553    2.097
      68   -2.361    3.666
      69   -3.548    2.495
      70   -4.013    2.829
      71   -1.904    3.330
      72   -2.094    3.338
      73   -0.975    2.478
      74   -3.157    2.214
      75   -1.940    6.201
      76   -2.477    6.140
      77   -2.651    4.781
      78   -1.814    2.398
      79    0.233    4.088
      80    0.599    1.641
      81    0.542    1.604
      82   -1.422    2.165
      83   -1.278   -0.071
      84   -0.701    1.727
      85   -2.057    1.266
      86   -2.794   -0.117
      87   -3.629    3.475
      88   -3.678    3.081
      89   -2.834    2.207
      90   -2.348    1.013
      91   -1.510    3.178
      92    0.032    4.851
      93   -0.606    6.682
      94   -1.685    6.193
      95   -0.372    4.273
      96   -0.565    5.597
      97   -3.301    4.103
      98   -3.960    3.723
      99   -4.894    3.548
     100   -6.136    3.846
     101   -5.618    3.766
     102   -6.258    2.147
     103   -5.366    1.527
     104   -7.185    1.072
     105   -5.832   -0.135
     106   -5.280   -0.845
     107   -4.829    1.249
     108   -5.594    1.628
     109   -4.193    0.715
     110   -3.333    2.180
     111   -4.863    2.148
     112   -5.015    1.093
     113   -5.148    1.360
     114   -3.875   -1.036
     115   -3.318   -1.217
     116   -3.561   -1.257
     117   -5.495   -2.220
     118   -3.995   -1.307
     119   -4.228    2.313
     120   -1.913    3.675
     121   -2.220    3.672
     122   -1.741    3.038
     123   -2.749    0.663
     124   -2.557    2.251
     125   -1.407    2.220
     126   -1.795   -0.022
     127   -2.352   -0.814
     128   -2.387   -1.107
     129   -2.903   -1.745
     130   -2.493   -0.103
     131   -2.549    0.872
     132   -3.378    0.587
     133   -2.705    1.043
     134   -2.602   -1.148
     135   -2.149    0.891
     136   -0.237    2.821
     137   -1.700    3.179
     138   -0.332    4.067
     139   -2.388    4.279
     140   -4.384    2.687
     141   -2.256    1.105
     142   -3.627    5.509
     143   -3.727    5.259
     144   -4.380    5.212
     145   -3.224    3.889
     146   -1.991    2.213
     147   -4.567    1.012
     148   -3.704    0.943
     149   -4.396   -0.767
     150   -4.533   -1.088
     151   -3.921    0.570
     152   -4.187    0.153
     153   -2.123    2.048
     154   -1.462    0.011
     155   -1.996    3.821
     156   -3.482    5.710
     157   -3.657    4.577
