#Frame      Mode1    Mode2
       1  -12.504   -4.019
       2  -12.545   -2.308
       3  -12.778   -2.498
       4  -12.090   -0.950
       5  -12.733   -1.300
       6  -11.883   -2.094
       7  -12.835   -2.264
       8  -12.803   -5.463
       9  -13.357   -3.678
      10  -13.373   -3.492
      11  -12.501   -3.948
      12  -12.356   -2.443
      13  -13.356   -2.404
      14  -13.753   -3.400
      15  -13.888   -2.994
      16  -14.700   -4.631
      17  -13.770   -2.995
      18  -11.609   -3.404
      19  -11.613   -2.376
      20  -12.876   -2.994
      21  -10.646   -1.078
      22  -11.216   -2.529
      23  -11.326   -3.035
      24  -12.659   -2.891
      25  -12.785   -2.846
      26  -13.541   -2.802
      27  -13.261   -4.335
      28  -13.253   -2.702
      29  -11.704   -2.626
      30  -11.295   -0.668
      31  -12.584   -0.837
      32  -12.507   -3.155
      33  -11.590   -2.960
      34  -10.618   -2.987
      35  -11.637   -4.304
      36  -13.185   -4.716
      37  -11.865   -4.178
      38  -11.104   -1.983
      39  -10.836   -1.533
      40  -12.572   -2.940
      41  -12.686   -4.956
      42  -10.742   -4.336
      43  -11.200   -3.855
      44  -11.072   -4.248
      45  -11.307   -5.841
      46  -12.387   -4.168
      47  -10.797   -4.129
      48  -12.013   -3.256
      49  -10.833   -3.085
      50  -10.249   -2.396
      51   -9.586   -1.403
      52   -9.978   -1.156
      53  -13.479   -0.637
      54  -11.352    0.716
      55  -11.543   -0.503
      56  -11.717   -1.351
      57  -10.250   -0.536
      58  -10.837   -0.020
      59  -10.855   -1.803
      60  -11.347   -0.666
      61  -12.831   -1.363
      62  -11.054   -0.715
      63  -12.462   -3.371
      64  -11.913   -4.185
      65  -11.356   -2.085
      66  -10.397   -2.103
      67   -9.924    1.137
      68   -9.729   -0.990
      69  -11.056   -0.039
      70  -10.836   -0.115
      71  -11.703    1.491
      72  -12.263    1.362
      73  -11.539    0.816
      74  -10.656    1.016
      75   -8.431    1.890
      76   -7.161    3.676
      77   -7.006    1.544
      78   -8.302    3.214
      79   -6.773    1.848
      80   -8.830    1.673
      81   -7.522    2.983
      82   -9.782    3.165
      83  -10.804    2.814
      84   -9.889    2.838
      85  -10.094   -0.328
      86   -9.613    0.764
      87   -9.491   -2.028
      88   -8.719   -2.026
      89   -9.130   -1.878
      90   -8.958   -1.732
      91   -9.200   -0.543
      92   -8.928   -1.774
      93   -7.963   -1.346
      94   -7.806   -2.625
      95   -7.136   -2.650
      96  -10.054   -0.361
      97   -9.516    1.630
      98  -10.845    2.022
      99   -8.344    2.108
     100   -9.849    4.055
     101   -8.923    4.248
     102  -10.462    2.788
     103  -10.874    1.693
     104  -12.253    1.659
     105  -12.105    2.549
     106  -11.928    2.188
     107  -11.565    1.424
     108  -10.835    0.281
     109  -10.971    1.069
     110  -10.913    0.106
     111  -10.447    0.048
     112  -11.326   -1.127
     113   -9.443   -0.513
     114  -10.929   -1.135
     115   -8.653    1.073
     116  -10.113   -0.337
     117   -9.389   -0.879
     118  -10.535   -1.942
     119   -8.961   -3.200
     120  -11.218   -2.741
     121  -10.149   -3.928
     122  -12.157   -3.181
     123  -10.318   -4.142
     124   -9.103   -2.999
     125   -8.498   -3.688
     126  -10.918   -4.795
     127  -10.610   -2.516
     128   -9.688   -1.834
     129   -9.589   -2.186
     130  -10.965   -0.291
     131   -9.521   -2.134
     132   -8.327   -0.195
     133   -8.917    0.430
     134   -7.268   -0.477
     135   -7.567   -0.277
