#Frame      Mode1    Mode2
       1   -1.179   -1.947
       2   -3.682   -4.868
       3   -3.117   -3.914
       4   -3.658   -2.379
       5   -5.130   -0.531
       6   -3.681   -0.636
       7   -3.789   -2.753
       8   -2.416   -2.534
       9   -4.184   -2.686
      10   -1.009   -1.966
      11   -2.622   -0.523
      12   -4.178   -2.779
      13   -3.601   -3.179
      14   -4.117    0.805
      15   -4.109    1.081
      16   -3.848    0.229
      17   -3.223   -0.736
      18   -2.241   -1.107
      19   -2.371   -2.563
      20   -3.498   -2.567
      21   -2.140   -2.522
      22   -1.414   -5.279
      23   -0.371   -5.892
      24   -0.194   -6.672
      25   -0.232   -6.495
      26   -1.725   -6.537
      27   -0.709   -5.957
      28   -0.868   -2.659
      29   -0.271   -1.671
      30   -0.097   -3.939
      31   -1.075   -2.072
      32   -2.743   -2.315
      33   -1.267   -1.906
      34   -3.906   -1.937
      35   -2.916   -0.429
      36   -2.681   -0.932
      37   -1.958   -0.506
      38   -2.170    0.520
      39   -3.013    2.321
      40   -2.352    1.663
      41   -4.913    0.487
      42   -4.410   -0.044
      43   -3.411   -1.646
      44   -4.465   -1.539
      45   -3.031   -0.956
      46   -3.285   -0.568
      47   -3.602   -2.334
      48   -4.589   -2.919
      49   -4.478   -2.375
      50   -4.604   -3.838
      51   -4.001   -2.797
      52   -2.841   -3.093
      53   -3.523   -3.801
      54   -3.193   -2.355
      55   -2.164   -0.698
      56   -1.847    0.520
      57   -2.609   -0.673
      58   -1.979   -1.893
      59   -1.095   -1.869
      60   -1.444   -1.791
      61   -2.719   -2.928
      62   -3.581   -3.355
      63   -4.698   -4.731
      64   -6.552   -6.540
      65   -5.492   -6.012
      66   -3.756   -4.584
      67   -2.107   -5.396
      68   -5.936   -3.511
      69   -4.145   -4.006
      70   -3.809   -2.327
      71   -3.526   -2.566
      72   -5.811   -1.830
      73   -5.689   -3.872
      74   -5.217   -1.540
      75   -4.408   -1.325
      76   -5.272   -0.242
      77   -6.168    0.451
      78   -4.505    0.938
      79   -3.690   -0.515
      80   -4.169   -0.943
      81   -4.724    0.089
      82   -5.780   -1.084
      83   -6.533   -1.213
      84   -4.350   -3.065
      85   -3.720   -3.164
      86   -6.241   -1.547
      87   -6.903   -0.757
      88   -5.567   -2.183
      89   -3.936   -1.528
      90   -3.794   -0.429
      91   -4.003   -0.053
      92   -5.692    0.317
      93   -3.713   -1.015
      94   -6.225   -0.625
      95   -3.845   -2.359
      96   -3.580   -3.357
      97   -3.478   -2.722
      98   -3.971   -1.111
      99   -3.699   -2.660
     100   -2.527   -2.218
     101   -2.412   -1.521
     102   -3.516   -3.542
     103   -5.049   -2.425
     104   -5.474   -1.815
     105   -4.105   -1.706
     106   -5.276   -4.779
     107   -6.229   -3.874
     108   -5.613   -5.394
     109   -5.856   -7.025
     110   -1.792   -5.135
     111   -2.189   -4.699
     112   -2.694   -4.975
     113   -2.579   -3.281
     114   -3.513   -3.897
     115   -5.304   -3.911
     116   -6.395   -3.877
     117   -3.798   -4.990
     118   -2.695   -5.887
     119   -3.111   -3.671
     120   -3.817   -2.288
     121   -5.400   -2.703
     122   -4.910   -2.036
     123   -4.875   -2.392
     124   -4.797   -4.938
     125   -3.078   -2.426
     126   -2.942   -5.044
     127   -3.006   -3.825
     128   -3.411   -4.253
     129   -2.787   -3.574
     130   -1.116   -3.075
     131   -0.619   -3.460
     132   -0.078   -4.682
     133   -0.689   -3.907
     134   -1.092   -6.559
     135   -0.317   -7.988
     136   -1.111   -6.071
     137   -1.090   -7.094
     138   -2.312   -7.397
     139   -2.696   -8.193
     140   -4.695   -6.766
     141   -2.883   -6.462
     142   -4.255   -5.524
     143   -3.017   -5.168
     144   -3.199   -5.511
     145   -3.973   -4.813
     146   -3.800   -6.740
     147   -4.130   -7.965
     148   -3.662   -8.799
     149   -2.450   -7.267
     150   -4.725   -6.783
     151   -3.883   -4.991
     152   -3.608   -6.254
     153   -4.405   -7.177
     154   -4.388   -5.658
     155   -4.443   -6.119
     156   -6.146   -5.116
     157   -4.897   -6.345
     158   -4.262   -3.355
     159   -5.110   -3.554
     160   -5.958   -5.078
     161   -6.741   -7.990
     162   -5.422   -7.173
     163   -5.645   -5.977
     164   -5.241   -5.443
     165   -5.026   -6.449
     166   -5.376   -5.587
     167   -5.799   -5.452
     168   -5.558   -4.084
     169   -3.552   -5.561
     170   -4.412   -4.008
     171   -2.406   -5.183
     172   -1.610   -5.519
     173   -4.748   -3.970
     174   -6.044   -4.915
     175   -6.290   -3.916
     176   -6.609   -5.222
     177   -5.693   -3.548
     178   -3.949   -2.129
     179   -3.957   -1.869
     180   -5.221    0.333
     181   -6.878   -0.201
     182   -5.517   -0.117
     183   -4.778   -1.763
     184   -5.031   -0.362
     185   -4.670    1.377
     186   -4.550    1.206
     187   -3.368   -0.893
     188   -3.222    1.069
     189   -2.973    2.140
     190   -1.449    1.613
     191   -1.156    1.568
     192   -1.698    0.991
     193   -3.168    0.921
     194   -2.176   -0.681
     195    0.083   -3.018
     196    0.008   -0.921
     197   -1.041    0.795
     198   -1.896   -0.237
     199   -2.363   -0.164
     200   -1.913   -1.543
     201   -0.731   -1.372
     202   -2.417   -2.240
     203   -2.311   -2.775
     204   -1.384   -1.840
     205   -1.881   -1.996
     206   -1.112   -2.894
     207   -1.764   -0.771
     208   -4.534   -0.744
     209   -3.258   -1.057
     210   -3.612   -0.930
     211   -3.076   -2.395
     212   -3.042   -2.773
     213   -2.569   -1.047
     214   -3.273    0.884
     215   -1.486    1.367
     216   -2.210    0.638
     217   -2.333    1.704
     218   -1.842    2.941
     219   -1.933    0.204
     220   -1.737    1.804
     221   -4.065    4.246
     222   -4.319    3.829
     223   -3.951    2.306
     224   -3.347    1.293
     225   -2.934    0.920
     226   -3.702    1.899
     227   -3.018   -1.135
     228   -4.877   -1.178
     229   -3.932   -1.028
     230   -5.126   -2.499
     231   -2.987   -2.276
     232   -2.551   -0.209
     233    0.220   -1.882
     234   -0.166    1.081
     235   -1.135    0.602
     236   -0.118   -0.381
     237    0.786   -0.647
     238    0.717   -0.562
     239   -1.800    0.464
     240   -2.073   -1.185
     241   -1.239   -0.896
     242   -1.091   -1.569
     243   -3.283   -2.324
     244   -5.769   -1.450
     245   -6.379    0.818
     246   -5.153   -0.551
     247   -4.381   -0.047
     248   -3.318   -1.202
