#Frame      Mode1    Mode2
       1  -11.481   -1.616
       2  -11.316   -1.089
       3  -13.022   -0.461
       4  -13.353    0.130
       5  -11.080    0.298
       6  -12.051   -0.588
       7  -10.000   -1.054
       8  -10.615   -0.080
       9  -11.235   -2.505
      10  -11.377   -3.256
      11  -12.038   -3.268
      12  -12.572   -3.486
      13  -10.515   -3.389
      14  -11.515   -2.870
      15  -10.327   -3.598
      16  -11.328   -3.428
      17  -10.351   -3.252
      18  -10.479   -2.939
      19  -12.522   -2.894
      20  -10.971   -1.888
      21  -11.141   -2.289
      22  -10.565   -2.278
      23  -11.463   -4.680
      24  -12.125   -4.090
      25  -12.286   -3.851
      26  -12.046   -4.242
      27  -12.250   -4.662
      28  -10.216   -4.482
      29  -11.618   -4.849
      30  -13.145   -4.559
      31  -12.085   -4.731
      32  -11.857   -6.305
      33  -13.260   -5.615
      34  -10.654   -4.624
      35  -10.534   -4.765
      36  -11.027   -4.568
      37  -13.335   -5.311
      38  -12.761   -4.981
      39  -10.265   -5.858
      40  -10.836   -5.874
      41  -10.393   -4.998
      42  -13.265   -3.813
      43  -12.855   -4.228
      44  -13.127   -4.481
      45  -12.460   -5.215
      46  -11.502   -3.972
      47  -11.380   -3.579
      48  -11.770   -5.556
      49  -12.012   -4.453
      50  -10.693   -3.787
      51  -11.202   -4.166
      52   -9.719   -3.589
      53   -9.660   -3.904
      54  -11.397   -4.208
      55  -10.764   -4.801
      56  -13.379   -3.748
      57  -12.681   -4.947
      58  -10.551   -4.290
      59  -12.620   -3.628
      60  -11.468   -3.903
      61  -11.166   -2.942
      62  -12.524   -4.305
      63  -13.480   -3.243
      64  -11.958   -3.107
      65  -10.840   -2.350
      66  -11.264   -2.491
      67   -9.335   -3.553
      68   -9.432   -4.097
      69   -9.779   -4.770
      70   -9.848   -5.332
      71   -9.950   -4.746
      72   -9.527   -4.634
      73   -8.524   -3.855
      74   -9.306   -4.665
      75  -12.618   -3.981
      76  -10.495   -3.123
      77   -8.951   -2.699
      78   -9.695   -4.917
      79   -7.819   -5.813
      80   -8.777   -4.956
      81   -9.821   -6.718
      82   -9.493   -8.008
      83   -8.444   -7.490
      84   -7.249   -5.741
      85   -7.686   -6.288
      86   -9.347   -5.675
      87   -8.735   -5.192
      88   -8.320   -4.897
      89   -7.221   -6.228
      90   -7.513   -5.022
      91   -9.553   -3.516
      92  -11.127   -4.144
      93   -9.235   -4.123
      94   -9.339   -5.660
      95  -10.211   -6.944
      96  -11.351   -7.259
      97  -11.371   -6.179
      98   -9.266   -6.405
      99   -9.857   -6.848
     100   -9.335   -6.420
     101   -7.768   -5.584
     102   -7.328   -5.767
     103   -7.698   -4.247
     104   -6.564   -5.577
     105   -8.359   -6.469
     106   -8.371   -6.075
     107   -8.175   -6.321
     108   -5.897   -5.478
     109   -7.028   -4.207
     110   -7.356   -4.005
     111   -6.895   -6.682
     112   -7.214   -6.141
     113   -6.581   -4.930
     114   -7.003   -4.600
     115   -6.299   -5.462
     116   -7.993   -4.847
     117   -7.167   -5.959
     118   -8.946   -6.040
     119   -9.747   -5.596
     120   -9.028   -5.879
     121  -10.973   -5.339
     122  -11.695   -3.831
     123   -9.620   -3.484
     124   -7.460   -3.005
     125   -7.550   -3.838
     126   -7.509   -5.288
     127   -7.857   -4.938
     128   -6.711   -5.117
     129   -7.512   -5.019
     130   -7.341   -3.441
     131   -7.034   -2.741
     132   -6.582   -3.888
     133   -5.582   -6.051
     134   -4.988   -4.525
     135   -5.242   -4.995
     136   -4.310   -5.222
     137   -6.387   -5.599
     138   -5.632   -5.043
     139   -5.816   -5.102
     140   -6.365   -4.741
     141   -7.041   -4.817
     142   -6.539   -4.540
     143   -6.801   -4.617
     144   -5.405   -4.802
     145   -6.463   -4.427
     146   -6.095   -4.885
     147   -3.644   -5.195
     148   -4.491   -5.178
     149   -7.050   -4.920
     150   -6.797   -4.932
     151   -6.392   -5.214
     152   -6.514   -3.247
     153   -5.684   -2.039
     154   -6.793   -0.421
     155   -6.013    0.249
     156   -5.044   -0.364
     157   -5.128   -1.572
     158   -6.650   -0.297
     159   -8.354   -1.260
     160   -6.190   -1.007
     161   -4.979   -1.336
     162   -5.067   -2.487
     163   -5.181   -2.006
     164   -4.236   -2.519
     165   -4.811   -3.727
     166   -5.534   -4.447
     167   -5.872   -3.302
     168   -5.300   -3.899
     169   -4.879   -4.458
     170   -5.463   -6.053
     171   -5.561   -5.659
     172   -4.336   -4.551
     173   -5.682   -4.063
     174   -6.235   -4.041
     175   -6.396   -3.501
     176   -6.972   -4.475
     177   -6.077   -4.522
     178   -6.459   -5.100
     179   -6.524   -5.517
     180   -6.592   -5.154
     181   -6.532   -5.263
     182   -5.417   -5.889
     183   -3.292   -5.494
     184   -5.933   -5.043
     185   -7.943   -4.535
     186   -7.043   -5.587
     187   -6.974   -4.810
     188   -7.918   -4.572
     189   -7.135   -3.493
     190   -9.041   -4.172
     191   -8.483   -5.703
     192   -8.336   -5.896
     193   -7.885   -5.784
     194   -8.205   -5.336
     195   -7.897   -7.125
     196   -8.951   -5.533
     197   -9.453   -7.522
     198   -9.045   -6.530
     199   -9.052   -6.341
     200   -8.391   -6.832
     201   -7.217   -6.609
     202   -8.730   -6.695
     203   -8.432   -5.381
     204   -8.485   -5.001
     205   -7.464   -5.007
     206   -5.544   -4.437
     207   -4.336   -5.979
     208   -6.995   -5.518
     209   -4.651   -3.118
     210   -6.071   -4.881
     211   -4.235   -4.711
     212   -4.244   -3.881
     213   -5.079   -3.195
     214   -4.640   -2.796
     215   -5.165   -5.455
     216   -3.384   -6.759
     217   -4.319   -5.808
     218   -4.286   -3.801
     219   -4.838   -4.383
     220   -5.143   -4.933
     221   -5.334   -4.385
     222   -2.804   -3.277
     223   -4.718   -5.378
     224   -5.020   -4.853
     225   -4.872   -3.958
     226   -6.690   -4.740
     227   -7.904   -4.229
     228   -8.444   -4.158
     229   -9.181   -3.327
     230   -7.683   -2.303
     231   -6.822   -1.488
     232   -6.763   -1.928
     233   -7.143   -1.089
     234   -7.441    0.407
     235   -6.403   -0.844
     236   -6.598   -0.552
     237   -7.533   -1.220
     238   -6.229   -0.291
     239   -6.094   -2.582
     240   -7.525   -2.918
     241   -6.154   -3.540
     242   -5.930   -1.838
     243   -6.713   -2.863
     244   -9.115   -2.277
     245   -7.962   -1.928
     246   -9.112   -2.138
     247   -7.030   -2.380
     248   -7.614   -4.109
     249   -6.305   -3.464
     250   -6.637   -3.213
     251   -8.416   -2.584
     252   -8.026   -2.143
     253  -11.262   -1.667
     254   -9.870   -0.995
     255   -8.978   -0.790
     256   -9.853   -1.749
     257  -10.041   -1.877
     258   -7.573   -1.626
     259   -9.253   -2.228
     260   -8.841   -2.718
     261   -8.299   -2.590
     262   -9.626   -4.157
     263   -8.602   -3.395
     264   -7.676   -3.312
     265   -7.804   -4.737
     266   -8.117   -4.826
     267   -8.304   -3.567
     268   -7.926   -2.773
     269   -6.056   -2.870
     270   -5.760   -2.995
     271   -7.162   -3.656
     272   -6.231   -4.242
     273   -5.051   -2.867
     274   -3.889   -3.217
     275   -4.964   -4.527
     276   -5.814   -5.207
     277   -5.312   -4.567
     278   -5.021   -5.841
     279   -6.217   -5.963
